title,artist,genre,mood,context,energy,valence,description
Sunrise Drive,Ava Lane,pop,happy,commute,0.85,0.90,upbeat bright pop song for feeling energized and positive
Lo-Fi Rain,Nova Beats,lofi,calm,studying,0.30,0.65,soft instrumental lo-fi track for focus relaxation and studying
Heavy Lift,Iron Pulse,hiphop,motivated,gym,0.95,0.75,strong high-energy workout track for exercise and confidence
Quiet Room,Luna Vale,ambient,sad,relaxing,0.20,0.35,slow emotional ambient track for sadness reflection and rest
Focus Flow,Study Mode,lofi,focused,studying,0.40,0.70,steady low-distraction beat for deep work homework and concentration
Night Run,Metro Echo,electronic,energetic,gym,0.90,0.80,fast electronic song for running cardio and high energy
Soft Heart,Mira Blue,acoustic,sad,relaxing,0.25,0.40,gentle acoustic song for emotional moments and calm reflection
Good Day,The Brights,pop,happy,party,0.88,0.92,cheerful pop track for celebration positivity and good mood
Calm Waves,Ocean Mind,ambient,calm,sleep,0.15,0.60,peaceful ambient soundscape for sleep relaxation and stress relief
Confidence,Jay North,hiphop,motivated,commute,0.78,0.82,confident hip-hop track for motivation courage and productivity
